GENERALIZED BORN:
Complex Energy Terms
Frame #,VDWAALS,EEL,EGB,ESURF,G gas,G solv,TOTAL
117,-677.1027,-26703.4823,-4613.7434,118.31039423999998,-27380.585,-4495.43300576,-31876.018005759997
118,-1296.0062,-26512.5936,-4795.9027,117.08554031999999,-27808.5998,-4678.817159679999,-32487.41695968
119,-462.9212,-26587.69,-4799.5232,120.21499872000001,-27050.6112,-4679.30820128,-31729.91940128
120,-1227.2313,-26421.5954,-4826.3535,117.24611112,-27648.826699999998,-4709.10738888,-32357.93408888
121,-1164.1232,-26557.9486,-4784.4114,118.27436472,-27722.071799999998,-4666.13703528,-32388.20883528
122,-257.7888,-26495.3772,-4820.8834,118.98220752,-26753.165999999997,-4701.90119248,-31455.067192479997
123,-706.9476,-26468.325,-4825.2133,114.78536928,-27175.2726,-4710.42793072,-31885.700530719998
124,-519.1434,-26363.2154,-4888.5947,118.6720488,-26882.3588,-4769.9226512,-31652.281451200004
125,-887.2992,-26350.3707,-4940.5854,116.11389672,-27237.6699,-4824.4715032799995,-32062.141403280002
126,-818.4568,-26425.3228,-4811.3977,117.6804288,-27243.7796,-4693.7172712,-31937.496871200005
127,-420.6296,-26312.7321,-4921.8299,113.9601852,-26733.3617,-4807.8697148,-31541.2314148
128,-495.6032,-26316.8716,-4979.9711,118.25718407999999,-26812.4748,-4861.71391592,-31674.188715919998
129,-822.9538,-26255.3531,-4946.5853,119.12339807999999,-27078.3069,-4827.46190192,-31905.76880192
130,-836.508,-26485.092,-4743.071,116.51899968,-27321.600000000002,-4626.55200032,-31948.152000320002
131,-575.7406,-26629.4369,-4714.7915,115.36938215999999,-27205.1775,-4599.42211784,-31804.599617840002
132,-699.5359,-26559.5783,-4741.8721,117.84547943999999,-27259.1142,-4624.026620559999,-31883.140820560002
133,-579.8901,-26456.8275,-4913.9549,116.93544696,-27036.7176,-4797.0194530399995,-31833.73705304
134,-589.8678,-26544.3421,-4768.5359,116.08802712,-27134.2099,-4652.4478728799995,-31786.65777288
